Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_1_grade_1,Prerequisite_2,Prerequisite_2_grade_2,Prerequisite_3,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
DIP,South Australian Institute of Business & Technology (SAIBT),Adelaide,Diploma in Arts,Creative Arts & Design & Music,,,AUD,Years,2,Years,Yes,No,ATAR,50,,,,,https://search.unisa.edu.au/s/redirect?collection=study-search&url=http%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2Fdiploma-in-arts&index_url=https%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2F2021%2F742-2341&auth=dEqiM1AwUm%2BodmbT%2F8EXrw&profile=_default&rank=2&query=%21padrenull+%7CpeopleFacetUnitsOthers%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleStaff1%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpmpProgramsStudentType%3A%22%24%2B%2B+Australian+%24%2B%2B%22+%7CpeopleFacetResearchArea%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetProgramsCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetLevelStudy%3A%22%24%2B%2B+Diplomas+%24%2B%2B%22+%7CpeopleFacetSchoolsDivision%3A%22%24%2B%2B+All+%24%2B%2B%22+%7Ctab%3A%22%24%2B%2B+Degrees+%26+Courses+%24%2B%2B%22,English,D,"We offer a pathway into UniSA, if you do not meet the direct entry requirements for the degree you want to study. The entry requirements for our diplomas make them more accessible for students who do not receive their desired result.",,Australia,No,Yes,No,Yes,No,
DIP,South Australian Institute of Business & Technology (SAIBT),Adelaide,Diploma in Business,Business & Commerce & Finance & Accounting,,,AUD,Years,2,Years,Yes,No,ATAR,50,,,,,https://search.unisa.edu.au/s/redirect?collection=study-search&url=http%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2Fdiploma-in-business&index_url=https%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2F2021%2F4142-7537&auth=on7be8R8sB2JTVFzsNH3UQ&profile=_default&rank=3&query=%21padrenull+%7CpeopleFacetUnitsOthers%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleStaff1%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpmpProgramsStudentType%3A%22%24%2B%2B+Australian+%24%2B%2B%22+%7CpeopleFacetResearchArea%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetProgramsCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetLevelStudy%3A%22%24%2B%2B+Diplomas+%24%2B%2B%22+%7CpeopleFacetSchoolsDivision%3A%22%24%2B%2B+All+%24%2B%2B%22+%7Ctab%3A%22%24%2B%2B+Degrees+%26+Courses+%24%2B%2B%22,English,D,"The program offers a pathway into UniSA if you don’t meet the direct entry requirements for the degree you wish to study. Depending on your area of interest, you could go on to study a range of bachelor degrees in health, nursing, or any other allied health areas.",,Australia,No,Yes,No,Yes,No,
DIP,South Australian Institute of Business & Technology (SAIBT),Adelaide,Diploma in Health,English,,,AUD,Years,2,Years,Yes,No,ATAR,50,,,,,https://search.unisa.edu.au/s/redirect?collection=study-search&url=http%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2Fdiploma-in-health&index_url=https%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2F2021%2F5122-9517&auth=zHIDjxQW6scloQMKHgqvww&profile=_default&rank=4&query=%21padrenull+%7CpeopleFacetUnitsOthers%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleStaff1%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpmpProgramsStudentType%3A%22%24%2B%2B+Australian+%24%2B%2B%22+%7CpeopleFacetResearchArea%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetProgramsCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetLevelStudy%3A%22%24%2B%2B+Diplomas+%24%2B%2B%22+%7CpeopleFacetSchoolsDivision%3A%22%24%2B%2B+All+%24%2B%2B%22+%7Ctab%3A%22%24%2B%2B+Degrees+%26+Courses+%24%2B%2B%22,English,D,"Guaranteed* entry into the second year of many Health degrees (*upon successful completion).
A great back up option if you don’t think you’ll get the ATAR for your preferred degree.
You can still access UniSA College staff and support services while you’re studying the first year of your degree.
In your second year, study the same courses alongside other (first year) Health students.
Get the full student experience with events, entertainment, sports, clubs, volunteering opportunities and more.
Snapshot
296x202_ddhlsnapshot.pngThe Diploma in Health is a two-year program that prepares you for university study and – upon successful completion – guarantees you entry into second year of a wide range of health degrees.",,Australia,No,Yes,No,Yes,No,
DIP,South Australian Institute of Business & Technology (SAIBT),Adelaide,Diploma in Languages,Language & Literature,,,AUD,Years,1,Year,Yes,No,,,,,,,https://search.unisa.edu.au/s/redirect?collection=study-search&url=http%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2Fdiploma-in-languages&index_url=https%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2F2021%2F3302-6297&auth=oz3iX4So5mZh2%2Fa9C1FB9w&profile=_default&rank=5&query=%21padrenull+%7CpeopleFacetUnitsOthers%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleStaff1%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpmpProgramsStudentType%3A%22%24%2B%2B+Australian+%24%2B%2B%22+%7CpeopleFacetResearchArea%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetProgramsCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetLevelStudy%3A%22%24%2B%2B+Diplomas+%24%2B%2B%22+%7CpeopleFacetSchoolsDivision%3A%22%24%2B%2B+All+%24%2B%2B%22+%7Ctab%3A%22%24%2B%2B+Degrees+%26+Courses+%24%2B%2B%22,English,D,Both the Professional Certificate in Aged Care and the Diploma in Aged Care have been developed in collaboration with leading aged care providers. Study course content that has been mapped to relevant standards which include the Aged Care Quality Standards and the National Safety and Quality Health Service (NSQHS) Standards.,"Your career
The ability to use language effectively is a great skill, particularly in a world of linguistic and cultural diversity. Knowledge of other languages and understanding of intercultural relationships is a skill held in high regard by many employers. Having a proficiency in another language can expand your career options to include roles such as:

cultural liaison officer: help to identify the needs of individuals and families from different cultural groups, and ensure there are resources and support programs to meet those needs
interpreter/translator: work with groups, individuals and organisations to convert, in written and spoken language, one language into another language
tutor: provide one-on-one academic assistance to help students

There may also be opportunities for you to work for education providers, professional services firms and not-for-profit organisations with headquarters, alliances and networks in international markets.",Australia,No,Yes,No,Yes,No,
DIP,South Australian Institute of Business & Technology (SAIBT),Adelaide,Diploma in Engineering,Engineering,,,AUD,Years,2,Years,Yes,No,ATAR,50,,,,,https://search.unisa.edu.au/s/redirect?collection=study-search&url=http%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2Fdiploma-in-engineering&index_url=https%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2F2021%2F7782-13525&auth=qECufnP1T8S1x2aZUX6K1g&profile=_default&rank=8&query=%21padrenull+%7CpeopleFacetUnitsOthers%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleStaff1%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpmpProgramsStudentType%3A%22%24%2B%2B+Australian+%24%2B%2B%22+%7CpeopleFacetResearchArea%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetProgramsCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetLevelStudy%3A%22%24%2B%2B+Diplomas+%24%2B%2B%22+%7CpeopleFacetSchoolsDivision%3A%22%24%2B%2B+All+%24%2B%2B%22+%7Ctab%3A%22%24%2B%2B+Degrees+%26+Courses+%24%2B%2B%22,English,D,The Diploma in Engineering is a two-year program that prepares you for university study and – upon successful completion – guarantees you entry into second year of a wide range of engineering degrees.,"You will get a taste of university and learn the skills you need to study for your degree, including:

how UniSA works
how to write academic assignments
how to reference
how to manage your time
In first year you will complete core courses that develop your critical writing, study, communication, numeracy and research skills. In second year, you will start studying first-year courses from your linked bachelor degree and accrue some hours in the UniSA STEM Professional Practice Program. You will sit in the same lectures and tutorials as other first-year students, but you can still rely on UniSA College for extra support.",Australia,No,Yes,No,Yes,No,
DIP,South Australian Institute of Business & Technology (SAIBT),Adelaide,Diploma in Health (Mount Gambier),English,,,AUD,Years,2,Years,Yes,No,,,,,,,https://search.unisa.edu.au/s/redirect?collection=study-search&url=http%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2Fdiploma-health-mount-gambier&index_url=https%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2F2021%2F5122-12037&auth=i9MlJobiBwe0o6f%2BynI4iA&profile=_default&rank=9&query=%21padrenull+%7CpeopleFacetUnitsOthers%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleStaff1%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpmpProgramsStudentType%3A%22%24%2B%2B+Australian+%24%2B%2B%22+%7CpeopleFacetResearchArea%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetProgramsCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetLevelStudy%3A%22%24%2B%2B+Diplomas+%24%2B%2B%22+%7CpeopleFacetSchoolsDivision%3A%22%24%2B%2B+All+%24%2B%2B%22+%7Ctab%3A%22%24%2B%2B+Degrees+%26+Courses+%24%2B%2B%22,English,D,"The Diploma in Health, in Mount Gambier, is a two-year program that prepares you for university study and – upon successful completion – guarantees you entry into second year of a Bachelor of Nursing (Mount Gambier). We offer a pathway into UniSA, if you do not meet the direct entry requirements for the degree you want to study. The entry requirements for our diplomas make them more accessible for students who do not receive their desired result.",,Australia,No,Yes,No,Yes,No,
DIP,South Australian Institute of Business & Technology (SAIBT),Adelaide,Diploma in Information Technology,Computer Science & Information Technology,,,AUD,Years,2,Years,Yes,No,ATAR,50,,,,,https://search.unisa.edu.au/s/redirect?collection=study-search&url=http%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2Fdiploma-in-information-technology&index_url=https%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2F2021%2F7802-13546&auth=ilmfeNdbLVoYf%2FGc12TDpw&profile=_default&rank=10&query=%21padrenull+%7CpeopleFacetUnitsOthers%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleStaff1%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpmpProgramsStudentType%3A%22%24%2B%2B+Australian+%24%2B%2B%22+%7CpeopleFacetResearchArea%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetProgramsCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetLevelStudy%3A%22%24%2B%2B+Diplomas+%24%2B%2B%22+%7CpeopleFacetSchoolsDivision%3A%22%24%2B%2B+All+%24%2B%2B%22+%7Ctab%3A%22%24%2B%2B+Degrees+%26+Courses+%24%2B%2B%22,English,D,"The Diploma in Information Technology is a two-year program that prepares you for university study and – upon successful completion – guarantees you entry into second year of a wide range of IT degrees.

We offer a pathway into UniSA, if you do not meet the direct entry requirements for the degree you want to study. The entry requirements for our diplomas make them more accessible for students who do not receive their desired result.",,Australia,No,Yes,No,Yes,No,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"We offer a pathway into UniSA, if you do not meet the direct entry requirements for the degree you want to study. The entry requirements for our diplomas make them more accessible for students who do not receive their desired result.",,,,,,,,
