Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
HONS,Australian National University,Canberra,Bachelor of Accounting (Honours),Business & Commerce & Finance & Accounting,"48,384.00",,AUD,Years,1,Year,Yes,No,ATAR,GPA,Equivalent ANU AQF Degree Level,70,,7,https://programsandcourses.anu.edu.au/2021/program/HACCT,English,A,"Students who achieve excellent academic performance in their accounting studies will be eligible to join the Honours year.The program extends undergraduate studies in financial accounting, management accounting, auditing and taxation. Students undertake advanced coursework and a research thesis. Classes are conducted in a seminar setting. Students will have the opportunity to interact with research active academic staff, engage in the analysis of advanced accounting issues, and develop critical thinking skills.Students aspiring to the Honours program should consult the Honours Convenor in the Research School of Accounting for advice. Students from other universities can also apply for entry.","Integrate theoretical and technical accounting knowledge in a business context, including issues in accounting research. Exercise judgement under supervision to provide possible solutions to emerging and advanced accounting problems in contemporary contexts using where appropriate social, ethical, economic, regulatory, sustainability, governance and/or global perspectives. Critically apply theoretical and technical accounting knowledge and skills to analyse and provide possible solutions to emerging accounting problems and to conduct a research-based project. Justify and communicate accounting ideas and research issues to both specialists and non-specialists.",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
BA,Australian National University,Canberra,Bachelor of Actuarial Studies,Business & Commerce & Finance & Accounting,"48,384.00",,AUD,Years,3,Years,Yes,No,ATAR,GPA,Equivalent ANU AQF Degree Level,70,,,https://programsandcourses.anu.edu.au/2021/program/BACTS,English,A,"Are you a maths whiz who wants stimulating work, limitless potential and an ever growing salary? This is the esteemed degree that will make you a thought leader in a wide variety of areas. With an ANU Bachelor of Actuarial Studies you can excel in your career literally anywhere in the world.Risk is all around us - in investment markets, on the roads, from our health and the climate. This degree will teach you how to apply your mathematical talent in understanding, measuring and managing these risks.Graduates will apply mathematical, statistical, financial, economic and other skills to untangle the most complex and difficult problems facing the commercial world.","utilise concepts in financial mathematics, including the time value of money, annuities, bond and loan calculations interpret the accounts and financial statements of companies and financial institutions. describe the fundamental concepts of micro and macroeconomics. apply mathematical statistics, regression modeling and other statistical techniques to actuarial problems describe and apply stochastic processes, survival models and their application in actuarial contexts model and value cashflows dependent on death, survival, illness, retirement, and other contingencies apply risk modelling techniques across a variety of financial contexts",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
HONS,Australian National University,Canberra,Bachelor of Actuarial Studies (Honours),Business & Commerce & Finance & Accounting,"48,384.00",,AUD,Years,1,Year,Yes,No,ATAR,GPA,Equivalent ANU AQF Degree Level,70,,7,https://programsandcourses.anu.edu.au/2021/program/HACTS,English,A,"Honours in Actuarial Studies is a program offered within the Research School of Finance, Actuarial Studies and Applied Statistics that offers students who have excelled in their undergraduate actuarial degree a challenging but rewarding year of study. We seek outstanding students who are keen to undertake independent research with the guidance from academic staff. Sufficiently high grades in the coursework component of the honours year will enable students to receive exemptions from some of the Associateship and Fellowship requirements of the Actuaries Institute.",demonstrate a sound knowledge and critical understanding of research design and methods in development of a research proposal and research plan perform independent research exhibit in-depth knowledge of their chosen research topic discuss and apply an actuarial control cycle in a variety of practical commercial situations.,Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
HONS,Australian National University,Canberra,Bachelor of Advanced Computing (Honours),Computer Science & Information Technology,"48,384.00",,AUD,Years,4,Years,Yes,No,ATAR,GPA,Equivalent ANU AQF Degree Level,70,,,https://programsandcourses.anu.edu.au/2021/program/AACOM,English,A,"This is a unique, interdisciplinary program that will prepare you to be a future leader of the information and communications technology revolution.As a degree accredited by the Australian Computer Society you will not only learn advanced computing techniques and have the opportunity to complete a unique specialisation, but also develop exceptional professional skills including communication and teamwork.While some of our students are developing code which controls unmanned aerial vehicles, others are busy writing algorithms to mine through Peta-bytes of data. If mastering challenging projects is your thing, the ANU Bachelor of Advanced Computing (Honours) can launch you into a spectacular career.","Define and analyse complex problems, and design, implement and evaluate solutions that demonstrate an understanding of the systems context in which software is developed and operated including economic, social, historical, sustainability and ethical aspects. Demonstrate an operational and theoretical understanding of the foundations of computer science including programming, algorithms, logic, architectures and data structures. Recognise connections and recurring themes, including abstraction and complexity, across the discipline. Adapt to new environments and technologies, and to innovate. Demonstrate an understanding of deep knowledge in at least one area of computer science. Communicate complex concepts effectively with diverse audiences using a range of modalities. Work effectively within teams in order to achieve a common goal. Demonstrate commitment to professional conduct and development that recognises the social, legal and ethical implications of their work, to work independently, and self- and peer-assess performance. Demonstrate an understanding of the fundamentals of research methodologies, including defining research problems, background reading and literature review, designing experiments, and effectively communicating results. Apply research methods to the solution of contemporary research problems in computer science.",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
HONS,Australian National University,Canberra,Bachelor of Advanced Computing (Research and Development) (Honours),Humanities and Social Science,"48,384.00",,AUD,Years,4,Years,Yes,No,ATAR,GPA,Equivalent ANU AQF Degree Level,70,,,https://programsandcourses.anu.edu.au/2021/program/AACRD,English,A,"If you want to explore the cutting edge of research in computing and gain skills that will enable you to development software that tackles complex problems then you are looking at the right degree.This is a unique, interdisciplinary program that will prepare you to be a future leader of the information and communications technology revolution. It also is a great pathway to a PhD.As a degree accredited by the Australian Computer Society you will not only learn advanced computing techniques and have the opportunity to complete a unique specialisation, but also develop exceptional professional skills including communication and teamwork.You’ll work alongside distinguished researchers at ANU and pursue research projects in your own area of interest.While some of our students are developing code which controls unmanned aerial vehicles, others are busy writing algorithms to mine through Petabytes of data.  If mastering challenging projects is your thing, the ANU Bachelor of Advanced Computing (Research and Development) can launch you into a spectacular career","Define and analyse complex problems, and design, implement and evaluate solutions that demonstrate an understanding of the systems context in which software is developed and operated including economic, social, historical, sustainability and ethical aspects Demonstrate an operational and theoretical understanding of the foundations of computer science including programming, algorithms, logic, architectures and data structures Recognise connections and recurring themes, including abstraction and complexity, across the discipline Adapt to new environments and technologies, and to innovate Demonstrate an understanding of deep knowledge in at least one area of computer science Communicate complex concepts effectively with diverse audiences using a range of modalities Work effectively within teams in order to achieve a common goal Demonstrate commitment to professional conduct and development that recognises the social, legal and ethical implications of their work, to work independently, and self- and peer-assess performance Demonstrate a deep understanding of the fundamentals of research methodologies, including defining research problems, background reading and literature review, designing experiments, and effectively communicating results Proficiently apply research methods to the solution of contemporary research problems in computer science, and Demonstrate an understanding of research processes including research proposals, article reviewing and ethics clearance.",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
BA,Australian National University,Canberra,Bachelor of Applied Data Analytics,Computer Science & Information Technology,"48,384.00",,AUD,Years,3,Years,Yes,No,ATAR,GPA,Equivalent ANU AQF Degree Level,70,,,https://programsandcourses.anu.edu.au/2021/program/BADAN,English,A,"The Bachelor of Applied Data Analytics is a three year full-time (or equivalent part-time) inter-disciplinary degree that is designed to address a global shortage of graduates with skills in data analytics as applied to high-quality, data-informed decision-making. It is designed to develop inter-disciplinary knowledge across the three base disciplines of computing, statistics and social science.  You will receive exposure to best practice in data analytics as well as an opportunity to acquire knowledge in a discipline that relies on data analytics, or deepen knowledge in one of computation, statistics, or social science.","Select, adapt, apply, and communicate advanced data analytics methods and techniques; Apply data analytics to decision making about policy, business and service delivery; Examine current issues in data analytics using leading-edge research and practices in the field; Demonstrate strong cognitive, technical, and communication skills to work independently and collaboratively to collect, process, interpret and communicate the outcomes of data analytics problems; and Communicate complex data analytics outcomes to diverse audiences.",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
HONS,Australian National University,Canberra,Bachelor of Applied Data Analytics (Honours),Computer Science & Information Technology,"48,384.00",,AUD,Years,1,Year,Yes,No,ATAR,GPA,Equivalent ANU AQF Degree Level,,,,https://programsandcourses.anu.edu.au/2021/program/HADAN,English,A,"The Bachelor of Applied Data Analytics (Honours) is a one year full-time (or equivalent part-time) degree available in one of Computing, Statistics, or Social Sciences that exemplifies the ANU commitment to research-led education.  Building upon the Bachelor of Applied Data Analytics, the degree will provide you with high level preparation for life as a practitioner or for undertaking a higher degree by research. You will be provided with research methods and principles training, undertake some advanced coursework, and complete a major research project.",Demonstrate a sound knowledge and critical understanding of research design and methods Apply that knowledge to the development of a research proposal and research plan Develop the capacity to perform high-level independent research Exhibit in-depth knowledge of their chosen research topic Demonstrate a high level of ability to critically analyse and evaluate research questions and communicate the results.,Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
BA,Australian National University,Canberra,Bachelor of Archaeological Practice,Science and Health Science,"40,320.00",,AUD,Years,3,Years,Yes,No,ATAR,GPA,Equivalent ANU AQF Degree Level,80,,,https://programsandcourses.anu.edu.au/2021/program/BAPRC,English,A,"Archaeology unlocks the mysteries of humanity’s past. Archaeologists discover and excavate archaeological sites and interpret the material recovered from them.Our well-regarded degree is specifically designed to prepare you for a successful career in archaeology, either as a researcher or heritage consultant.You will be trained in methods of archaeological investigation and develop both skills, experience and knowledge of fieldwork, museums and heritage and community engagement. Unique to Australia, this degree takes a global outlook on the practice of archaeology and the production of knowledge about past societies.Throughout the ANU Bachelor of Archaeological Practice you will have exciting opportunities to participate in local or international fieldwork experiences.","Undertake archaeological fieldwork using different techniques and approaches to locate, map, record, collect and excavate archaeological materials by determining the conditions in which those techniques and approaches are optimal. Critically analyse archaeological materials. This includes the examination of human remains, artefacts, archaeo-fauna and archaeo-flora, archaeological sediments and other materials. Apply interpretative approaches and skills including archaeological theory and quantitative analysis. Design research frameworks and practise their application. Reconstruct archaeological sequences and culture histories, and environmental archaeology. Identify aspects of archaeological interpretations of human evolution and culture change.",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
HONS,Australian National University,Canberra,Bachelor of Archaeological Practice (Honours),Science and Health Science,"40,320.00",,AUD,Years,1,Year,Yes,No,ATAR,GPA,Equivalent ANU AQF Degree Level,70,,7,https://programsandcourses.anu.edu.au/2021/program/HAPRC,English,A,"The Bachelor of Archaeological Practice (Honours) degree exemplifies the ANU commitment to research-led education. Building on the Bachelor of Archaeological Practice, it gives you high-level preparation for professional life or a higher degree by research through the development of an advanced knowledge of the research principles and methods and theoretical concepts of archaeological practice, and through the design and implementation of a research project, typically a 20,000 word thesis, that leads to the development of new understandings or that provides solutions to complex problems.","pose a significant research question relating to Archaeological Practice; investigate this question creatively, critically, ethically, and independently, including through sophisticated use of appropriate theory and methodology as appropriate to Archaeological Practice, and place these investigations in the context of the relevant intellectual tradition; and communicate their research and its findings through an appropriate medium.",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
BA,Australian National University,Canberra,Bachelor of Art History and Curatorship,Humanities and Social Science,"40,320.00",,AUD,Years,3,Years,Yes,No,ATAR,GPA,Equivalent ANU AQF Degree Level,70,,,https://programsandcourses.anu.edu.au/2021/program/BAHCR,English,A,"The Bachelor of Art History and Curatorship bridges the gap between art history as an academic discipline and the practicalities of curating collections and exhibitions.The degree locates the study of art in a range of historical, social, cultural and political contexts. You can focus on Australian, Asian and International art, both historical and contemporary, and participate in intensive art history courses taught overseas. You will be able to deepen your understanding of art practice through courses drawn from the School of Art & Design and be exposed to the museum environment through tutorials at national cultural institutions.","Identify and critique the historical, social, cultural and political contexts of art. Understand the relationship between art history, art theory and curatorial practices. Evaluate and investigate the structures and practices of public cultural institutions through active engagement with museums and galleries. Demonstrate practical knowledge of the processes associated with caring for collections and developing exhibitions.",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
HONS,Australian National University,Canberra,Bachelor of Art History and Curatorship (Honours),Humanities and Social Science,"40,320.00",,AUD,Years,1,Year,Yes,No,ATAR,GPA,Equivalent ANU AQF Degree Level,70,,,https://programsandcourses.anu.edu.au/2021/program/HAHCR,English,A,"The Bachelor of Art History and Curatorship (Honours) degree exemplifies the ANU commitment to research-led education. Building on the Bachelor of Bachelor of Art History and Curatorship, it gives you high-level preparation for professional life or a higher degree by research through the development of an advanced knowledge of the research principles and methods and theoretical concepts of art history and curatorship, and through the design and implementation of a research project, typically a 20,000 word thesis, that leads to the development of new understandings or that provides solutions to complex problems.","pose a significant research question relating to Art History and Curatorship; investigate this question creatively, critically, ethically, and independently, including through sophisticated use of appropriate theory and methodology as appropriate to Art History and Curatorship, and place these investigations in the context of the relevant intellectual tradition; and communicate their research and its findings through an appropriate medium.",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
BA,Australian National University,Canberra,Bachelor of Arts,Creative Arts & Design & Music,"45,860.00",,AUD,Years,3,Years,Yes,No,ATAR,GPA,Equivalent ANU AQF Degree Level,70,,,https://programsandcourses.anu.edu.au/2021/program/BARTS,English,A,"The Bachelor of Arts is the most diverse, most flexible, and most popular degree at The Australian National University. Each of its some fifty majors, in fields throughout the arts, humanities and social sciences, is taught by truly outstanding scholars to ensure that each student receives the very best education, is engaged with cutting-edge research, and learns to think like a researcher. These majors can be coupled with more than seventy minors and specialisations to broaden or deepen your study. Regardless of your choices, your Arts degree will provide you with core skills in critical analysis and in written and oral communication, while developing your adaptability and ability to help shape change and prepare you for a multifaceted career or further study.","critically apply theoretical frameworks and research techniques to understanding national and international issues and problems; identify, including through interrogation of databases, relevant sources of information from across a variety of media (print and digital, written and audio-visual) and judge the importance and reliability of those sources; evaluate ideas and develop creative solutions to problems, including through independent pursuit of knowledge and making connections between different disciplinary approaches and methods; communicate and debate both orally and in writing, and work with others, using a variety of media; and understand the ethical implications of ideas, communications, and actions.",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
HONS,Australian National University,Canberra,Bachelor of Arts (Honours),Creative Arts & Design & Music,"45,860.00",,AUD,Years,1,Year,Yes,No,ATAR,GPA,Equivalent ANU AQF Degree Level,70,,,https://programsandcourses.anu.edu.au/2021/program/HARTS,English,A,"The Bachelor of Arts (Honours) degree exemplifies the ANU commitment to research-led education. Building on the Bachelor of Arts, which is the most diverse, most flexible, and most popular degree at the Australian National University, it gives you high-level preparation for professional life or a higher degree by research through the development of an advanced knowledge of the research principles and methods and theoretical concepts of your discipline, and through the design and implementation of a research project, typically a thesis of up to 20,000 words, that develops new understandings or that provides solutions to complex problems. An Honours Specialisation is available for all majors in the BA, and any two Honours Specialisations available in the BA for which both sets of admissions criteria have been met are available for combination as Combined Honours..","pose a significant research question relating to their discipline; investigate this question creatively, critically, ethically, and independently, including through sophisticated use of appropriate theory and methodology as appropriate to the discipline, and place these investigations in the context of the relevant intellectual tradition; and communicate their research and its findings through an appropriate medium.",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
BA,Australian National University,Canberra,Bachelor of Arts (with Year in Asia),Computer Science & Information Technology,"45,860.00",,AUD,Years,4,Years,Yes,No,ATAR,GPA,Equivalent ANU AQF Degree Level,70,5,7,https://programsandcourses.anu.edu.au/2021/program/BARTY,English,A,"The Bachelor of Arts is the most diverse, most flexible, and most popular degree at The Australian National University. Each of its some fifty majors, in fields throughout the arts, humanities and social sciences, is taught by truly outstanding scholars to ensure that each student receives the very best education, is engaged with cutting-edge research, and learns to think like a researcher. These majors can be coupled with more than seventy minors and specialisations to broaden or deepen your study. Regardless of your choices, your Arts degree will provide you with core skills in critical analysis and in written and oral communication, while developing your adaptability and ability to help shape change and prepare you for a multifaceted career or further study.  The Bachelor of Arts (with Year in Asia) is the perfect degree to establish yourself as a future leader in the Asian Century. You will combine study at ANU with one year at a university in an Asian location like Beijing, Tokyo, Seoul or Bangkok. Your Year in Asia will build on the strengths of your Bachelor degree. You will develop an advanced level of language proficiency and an exceptional capacity to understand the societies and cultures of our region. You will study with world-class teachers at ANU and then put your learning into practice on the ground in Asia.","Critically apply theoretical frameworks and research techniques to understanding national and international issues and problems; identify, including through interrogation of databases, relevant sources of information from across a variety of media (print and digital, written and audio-visual) and judge the importance and reliability of those sources Evaluate ideas and develop creative solutions to problems, including through independent pursuit of knowledge and making connections between different disciplinary approaches and methods, including in the target Asian language; Communicate and debate both orally and in writing, and work with others, using a variety of media; and Understand the ethical implications of ideas, communications, and action Communicate in the target language with fluency and spontaneity making it possible for the student to interact with native speakers in the target language with minimum strain for either party. Accurately understand and summarise the central ideas of texts on both concrete and abstract topics familiar to the student in the target language Confidently discuss abstract and concrete issues related to their disciplinary focus in an academic setting in the target language. Identify, critically analyse and discuss diverse issues relevant to one's study and life with their classmates and beyond in their target language",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
BA,Australian National University,Canberra,Bachelor of Asian Studies,Humanities and Social Science,"43,092.00",,AUD,Years,3,Years,Yes,No,ATAR,GPA,Equivalent ANU AQF Degree Level,70,5,,https://programsandcourses.anu.edu.au/2021/program/BASIA,English,A,"Australia is increasingly looking to Asia - strategically, economically, politically, and culturally - and all eyes are on the graduates of tomorrow to take us there. Watch our video to find out how this degree will prepare you for a successful career in the Asian Century.With a Bachelor of Asian Studies you will master an Asian language, acquire in-depth contextual and regional knowledge, and graduate with the kind of Asian literacy that gets you noticed by employers.And if you love adventure, we offer you a variety of study opportunities in the region so you can experience Asia first hand. Plus we’ll provide you with funding to help get you there.Our community of scholars, policymakers, researchers and students is proudly interdisciplinary and interregional. Our teaching and research drives Australia’s engagement and understanding of its neighbouring regions. Majors and minors in the Bachelor of Asian Studies can be based on a language, a region or a discipline – for example, Modern Chinese Language, Asia-Pacific Politics, Japanese Studies and many others. We encourage students who begin the study of an Asian language at university to complete a full language major in order to graduate with the proficiency required to function as an Asia specialist in the increasingly competitive job market. Placement testing allows students with existing expertise in a language to enter at their current proficiency level.","Critically apply theoretical frameworks and research techniques to understand the global significance of Asia as a region and as a composite of diverse societies and cultures; Demonstrate a nuanced understanding of the regional diversity of the societies and cultures that make up Asia; Exercise critical thinking and judgment in identifying and solving problems, individually and in groups.",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
HONS,Australian National University,Canberra,Bachelor of Asian Studies (Honours),Humanities and Social Science,"43,092.00",,AUD,Years,1,Year,Yes,No,ATAR,GPA,Equivalent ANU AQF Degree Level,,5,,https://programsandcourses.anu.edu.au/2021/program/HASIA,English,A,"The Bachelor of Asian Studies Honours year is an opportunity for those who have completed a good pass degree to do independent research relating to Asia or the Pacific in one of the world's leading universities. As an Honours student you will have access to the wealth of Asian-Pacific expertise across the ANU and to the great holdings of the University and the National libraries. You will have expert supervisory guidance and research training in the College of Asia and the Pacific. With a Bachelor of Asian Studies (Honours) degree, you will acquire in-depth contextual knowledge and develop the research skills you need to move on to a higher research degree and/or professional employment.","pose a significant research question relating to the Asia-Pacific region investigate this question creatively, critically, ethically, and independently, including through sophisticated use of appropriate theory and methodology, and place these investigations in the context of the relevant intellectual tradition; and communicate their research and its findings through an appropriate medium.",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
BA,Australian National University,Canberra,Bachelor of Asian Studies (with Year in Asia),Humanities and Social Science,"43,092.00",,AUD,Years,4,Years,Yes,No,ATAR,GPA,Equivalent ANU AQF Degree Level,70,5,7,https://programsandcourses.anu.edu.au/2021/program/BASY,English,A,"Australia is increasingly looking to Asia - strategically, economically, politically, and culturally - and all eyes are on the graduates of tomorrow to take us there. With a Bachelor of Asian Studies you will master an Asian language, acquire in-depth contextual and regional knowledge, and graduate with the kind of Asian literacy that gets you noticed by employers.Our community of scholars, policymakers, researchers and students is proudly interdisciplinary and interregional. Our teaching and research drives Australia’s engagement and understanding of its neighbouring regions. Majors and minors in the Bachelor of Asian Studies can be based on a language, a region or a discipline – for example, Modern Chinese Language, Asia-Pacific Politics, Japanese Studies and many others. We encourage students who begin the study of an Asian language at university to complete a full language major in order to graduate with the proficiency required to function as an Asia specialist in the increasingly competitive job market. The Bachelor of Asian Studies (with Year in Asia) is the perfect degree to establish yourself as a future leader in the Asian Century. You will combine study at ANU with one year at a university in an Asian location like Beijing, Tokyo, Seoul or Bangkok. Your Year in Asia will build on the strengths of your Bachelor degree. You will develop an advanced level of language proficiency and an exceptional capacity to understand the societies and cultures of our region. You will study with world-class teachers at ANU and then put your learning into practice on the ground in Asia.","Critically apply theoretical frameworks and research techniques to understand the global significance of Asia as a region and as a composite of diverse societies and cultures; Demonstrate an understanding of different disciplinary approaches and methods drawn from the humanities and social sciences, to synthesise knowledge about Asia, its regions, and its place in the world; Demonstrate a nuanced understanding of the regional diversity of the societies and cultures that make up Asia; Evaluate ideas and debate issues using academic and applied styles, in both English and an Asian language; Exercise critical thinking and judgment in identifying and solving problems, individually and in groups. Communicate in the target language with fluency and spontaneity making it possible for the student to interact with native speakers in the target language with minimum strain for either party. Accurately understand and summarise the central ideas of texts on both concrete and abstract topics familiar to the student in the target language Confidently discuss abstract and concrete issues related to their disciplinary focus in an academic setting in the target language Identify, critically analyse and discuss diverse issues relevant to one's study and life with their classmates and beyond in their target language",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
BA,Australian National University,Canberra,Bachelor of Asia-Pacific Affairs,Humanities and Social Science,"45,864.00",,AUD,Years,4,Years,Yes,No,ATAR,GPA,Equivalent ANU AQF Degree Level,70,5,7,https://programsandcourses.anu.edu.au/2021/program/BAPAF,English,A,"The Bachelor of Asia-Pacific Affairs provides students with an in-depth exploration of Asia-Pacific regional affairs drawing on the strength of ANU in four different subject and disciplinary areas including politics and government; international relations and security; conflict and peacebuilding; history and cultural identity.  This innovative program will give students a unique opportunity to understand the transnational forces and contemporary challenges facing the Asia-Pacific region, and to deepen their understanding and appreciation of different Asia-Pacific cultures.The program will facilitate a cross-crediting arrangement with Ritsumeikan University (RU) in Japan that will allow for student mobility in both directions.  Students who study at both ANU and RU will, upon successful completion (and with cross-crediting), be eligible for the Bachelor of Asia-Pacific Affairs (ANU) and the Bachelor of Global Liberal Arts (RU).  Students commencing study at ANU will be required to undertake two years of study at ANU and two years of study at RU. This program will admit up to 10 students per year to begin studies at ANU.Students commencing study at RU will undertake three years of study at RU and one year of study at ANU. This program will admit up to 90 students per year to begin studies at RU’s Osaka Ibaraki campus.","Demonstrate a thorough knowledge of the historical and contemporary dimensions of politics and government, international relations and security, conflict and peacebuilding, and history and cultural identity in the Asia-Pacific region Use concepts and methods from the social sciences and humanities to develop, review, analyse, and synthesise knowledge about the Asia-Pacific region and its roles in the world Reflect critically on the principal factors that determine the major political, security, diplomatic, and historical issues in the Asia-Pacific region Engage with the Asia-Pacific region’s diversity in meaningful ways Critically apply theoretical frameworks and research techniques to understanding key issues in the Asia-Pacific region",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
BA,Australian National University,Canberra,Bachelor of Asia-Pacific Affairs (Ritsumeikan),Humanities and Social Science,"45,864.00",,AUD,Years,4,Years,Yes,No,ATAR,GPA,Equivalent ANU AQF Degree Level,70,5,7,https://programsandcourses.anu.edu.au/2021/program/BAPAR,English,A,"The Bachelor of Asia-Pacific Affairs provides students with an in-depth exploration of Asia-Pacific regional affairs drawing on the strength of ANU in four different subject and disciplinary areas including politics and government; international relations and security; conflict and peacebuilding; history and cultural identity. This innovative program will give students a unique opportunity to understand the transnational forces and contemporary challenges facing the Asia-Pacific region, and to deepen their understanding and appreciation of different Asia-Pacific cultures.The program will facilitate a cross-crediting arrangement with Ritsumeikan University (RU) in Japan that will allow for student mobility in both directions. Students who study at both ANU and RU will, upon successful completion (and with cross-crediting), be eligible for the Bachelor of Asia-Pacific Affairs (ANU) and the Bachelor of Global Liberal Arts (RU). Students commencing study at ANU will be required to undertake two years of study at ANU and two years of study at RU. This program will admit up to 10 students per year to begin studies at ANU.Students commencing study at RU will undertake three years of study at RU and one year of study at ANU. This program will admit up to 90 students per year to begin studies at RU’s Osaka Ibaraki campus.","Demonstrate a thorough knowledge of the historical and contemporary dimensions of politics and government, international relations and security, conflict and peacebuilding, and history and cultural identity in the Asia-Pacific region Use concepts and methods from the social sciences and humanities to develop, review, analyse, and synthesise knowledge about the Asia-Pacific region and its roles in the world Reflect critically on the principal factors that determine the major political, security, diplomatic, and historical issues in the Asia-Pacific region Engage with the Asia-Pacific region’s diversity in meaningful ways Critically apply theoretical frameworks and research techniques to understanding key issues in the Asia-Pacific region",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
BA,Australian National University,Canberra,Bachelor of Biotechnology,Computer Science & Information Technology,"48,384.00",,AUD,Years,3,Years,Yes,No,ATAR,GPA,Equivalent ANU AQF Degree Level,80,5,,https://programsandcourses.anu.edu.au/2021/program/BBIOT,English,A,"Place yourself at the forefront of innovation with the ANU Bachelor of Biotechnology.Biotechnology is about applying new technologies to agriculture, food and medicine production, and environmental problems in the context of research, industry and the applied health sciences.In this cutting-edge degree, you’ll learn the foundations of biology such as molecular and cellular biology, biotechnology and microbiology, as well as contemporary topics such as societal and ethical issues of biotechnology and intellectual property.Find out more about biotechnology, the degree structure, the university experience, career opportunities and student stories on our website.Get the inside story on what it’s like to be an ANU student by visiting our student blog.This program is not available for Semester 2 commencement.","Demonstrate a thorough knowledge of the historical and contemporary dimensions of politics and government, international relations and security, conflict and peacebuilding, and history and cultural identity in the Asia-Pacific region Use concepts and methods from the social sciences and humanities to develop, review, analyse, and synthesise knowledge about the Asia-Pacific region and its roles in the world Reflect critically on the principal factors that determine the major political, security, diplomatic, and historical issues in the Asia-Pacific region Engage with the Asia-Pacific region’s diversity in meaningful ways Critically apply theoretical frameworks and research techniques to understanding key issues in the Asia-Pacific region",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
