Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_1_grade_1,Prerequisite_2,Prerequisite_2_grade_2,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks,Subject_or_Unit_1,Subject_Objective_1,Subject_Description_1,Subject_or_Unit_2,Subject_Objective_2,Subject_Description_2,Subject_or_Unit_3,Subject_Objective_3,Subject_Description_3,Subject_or_Unit_4,Subject_Objective_4,Subject_Description_4,Subject_or_Unit_5,Subject_Objective_5,Subject_Description_5,Subject_or_Unit_6,Subject_Objective_6,Subject_Description_6,Subject_or_Unit_7,Subject_Objective_7,Subject_Description_7,Subject_or_Unit_8,Subject_Objective_8,Subject_Description_8,Subject_or_Unit_9,Subject_Objective_9,Subject_Description_9,Subject_or_Unit_10,Subject_Objective_10,Subject_Description_10,Subject_or_Unit_11,Subject_Objective_11,Subject_Description_11,Subject_or_Unit_12,Subject_Objective_12,Subject_Description_12,Subject_or_Unit_13,Subject_Objective_13,Subject_Description_13,Subject_or_Unit_14,Subject_Objective_14,Subject_Description_14,Subject_or_Unit_15,Subject_Objective_15,Subject_Description_15,Subject_or_Unit_16,Subject_Objective_16,Subject_Description_16,Subject_or_Unit_17,Subject_Objective_17,Subject_Description_17,Subject_or_Unit_18,Subject_Objective_18,Subject_Description_18,Subject_or_Unit_19,Subject_Objective_19,Subject_Description_19,Subject_or_Unit_20,Subject_Objective_20,Subject_Description_20,Subject_or_Unit_21,Subject_Objective_21,Subject_Description_21,Subject_or_Unit_22,Subject_Objective_22,Subject_Description_22,Subject_or_Unit_23,Subject_Objective_23,Subject_Description_23,Subject_or_Unit_24,Subject_Objective_24,Subject_Description_24,Subject_or_Unit_25,Subject_Objective_25,Subject_Description_25,Subject_or_Unit_26,Subject_Objective_26,Subject_Description_26,Subject_or_Unit_27,Subject_Objective_27,Subject_Description_27,Subject_or_Unit_28,Subject_Objective_28,Subject_Description_28,Subject_or_Unit_29,Subject_Objective_29,Subject_Description_29,Subject_or_Unit_30,Subject_Objective_30,Subject_Description_30,Subject_or_Unit_31,Subject_Objective_31,Subject_Description_31,Subject_or_Unit_32,Subject_Objective_32,Subject_Description_32,Subject_or_Unit_33,Subject_Objective_33,Subject_Description_33,Subject_or_Unit_34,Subject_Objective_34,Subject_Description_34,Subject_or_Unit_35,Subject_Objective_35,Subject_Description_35,Subject_or_Unit_36,Subject_Objective_36,Subject_Description_36,Subject_or_Unit_37,Subject_Objective_37,Subject_Description_37,Subject_or_Unit_38,Subject_Objective_38,Subject_Description_38,Subject_or_Unit_39,Subject_Objective_39,Subject_Description_39,Subject_or_Unit_40,Subject_Objective_40,Subject_Description_40
PG,Macquarie University,North Ryde,Master of Professional Accounting,Engineering,"29,200",,AUD,Years,1,Year,Yes,Yes,,,,,https://courses.mq.edu.au/2021/domestic/postgraduate/master-of-professional-accounting,English,D,"Certified Public Accountants (CPAs), Chartered Accountants (CAs) and ACCAs belong to an elite group of professionals. They are trusted and respected advisers, equipped with specialised skills that make them critical to the success of any business. Because of this, qualified professionals in the accounting, business and finance field will always be in demand.
If you hold a Bachelor's degree in accounting, or you're otherwise eligible to enrol in the CPA, CA or ACCA program, this course is ideal in assisting you to become a qualified practicing or chartered accountant. It will help you to develop advanced professional skills in strategic management accounting, financial reporting and disclosure, global strategy and leadership, and ethics and governance.",PROFESSIONS: Accounting. Auditing. Banking & Finance. Business Analytics. Consulting. Forensic Accounting. Government. Insurance. Risk Management. Stockbroking. Superannuation. TaxationEMPLOYERS: Accounting and Consulting Firms. Financial Institutions. Government Departments. Superannuation and Insurance Firms,Australia,No,Yes,No,Yes,No,,Contemporary Accounting Practice,,,International Accounting,,,Taxation Law,,,Business and Company Law,,,Economic Analysis,,,Current Issues in Accounting and Corporate Governance,,,Principles of Accounting,,,Corporate Accounting,,,Accounting Standards and Practice,,,Principles of Finance,,,Managerial Accounting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Macquarie University,North Ryde,Master of Professional Psychology,Engineering,"29,200",,AUD,Years,1,Year,Yes,Yes,,,,,https://courses.mq.edu.au/2021/domestic/postgraduate/master-of-professional-psychology,English,D,"Generalist psychologists are equipped to practice in a broad range of employment settings, including allied health, aged care and disability services, education and private practice. They treat people with mental health problems but also seek to understand how factors such as personality, society and culture affect behaviour and provide counselling that can help people from all walks of like lead happier, healthier and more productive lives.
In a single year of study, this course provides you with the necessary knowledge and skills you need to complete a final, sixth year of supervised placement and gain registration as a generalist psychologist with the Psychology Board of Australia. Through undertaking a blend of coursework and supervised placements, you'll be prepared for effective, ethical psychology practice in a broad range of contexts and settings.",,Australia,No,Yes,No,Yes,No,,Counselling and Professional Practice,,,Working with Special Populations,,,Cognitive Behavioural Therapy and Related Techniques,,,Psychological Assessment and Reports,,,Research Theory and Practice for Professional Psychologists,,,Working with Groups,,,Professional Practical Placement,,,Working with Children and Families,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Macquarie University,"North Ryde, Off-campus",Master of Public and Social Policy,Humanities and Social Science,"28,800",,AUD,Years,1,Year,Yes,Yes,,,,,https://courses.mq.edu.au/2021/domestic/postgraduate/master-of-public-and-social-policy,English,D,"Contemporary public and social policymaking involves balancing the needs of diverse stakeholders and competing interests. Being able to recognise and account for diverse viewpoints and understand both the opportunities and challenges inherent in policymaking – and the research that informs it – will help you make a positive impact on the well-being of others at an individual and community level.
With its dual focus on policy analysis and applied social research, this unique degree will give you a deep understanding of the forces that shape policy and the processes involved in making it. You’ll develop advanced skills in critical analysis to help you design and deliver effective policy solutions that serve the public interest, as well as the confidence to make socially informed judgements in a range of specialist policy areas.","PROFESSIONS: Human services consultant. Market researcher. Media adviser. Parliamentary and electoral office staff. Policy adviser. Policy analyst. Public opinion and market researcher. Public servant. Social and community services manager. Social and environmental advocate. Social researcherEMPLOYERS: Advocacy organisations. Local, state and federal government bodies. Non-government organisations. Research organisations and think tanks. Social research and marketing companies. Trade unions",Australia,No,Yes,No,Yes,No,,Policy Design: Concepts and Case Studies,,,Qualitative Methods for Policy,,,Doing Social Survey Research,,,Advanced Introduction to Policy,,,Social Impact Assessment,,,Making Public Policy in a Globalised World,,,Evaluating Social Policy,,,Policy Ideas in Focus: Framing Policy Problems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Macquarie University,North Ryde,Master of Public Health,English,"7,950",,AUD,Years,1,Year,Yes,Yes,,,,,https://courses.mq.edu.au/2021/domestic/postgraduate/master-of-public-health,English,D,"Key changes in population characteristics (for example ageing), the growth of lifestyle diseases (for example obesity) and the widespread nature of the mental health crisis mean that skilled public health leaders and innovators are in demand. 
This innovative, interdisciplinary and future-focused degree will prepare you for a dynamic career dedicated to preventing disease, promoting health and addressing health-related issues in our globalised world. You’ll gain in-depth knowledge and understanding of the importance of public health; and skills in leadership, teamwork and innovation; as well as practical skills that are essential to public health practice.","PROFESSIONS: Public health officer. Health promotion officer. Public health researcher. Health economist. Environmental health specialist. Health informatics specialistEMPLOYERS: Health departments. Clinical or community public health settings. Government and non-government organisations. NGOs concerned with health, human rights, Indigenous issues. Local and International aid organisations",Australia,No,Yes,No,Yes,No,,Sustainable Urban Regions,,,Public Health Informatics,,,Systems Science in Healthcare,,,Global Nutrition and Food Security,,,Inclusive Health,,,Applied Research Methodologies in Health,,,Qualitative Methods for Policy,,,Foundations of Public Health,,,Environmental Health,,,Infectious Disease Epidemiology,,,Health Law and Economics,,,Global Health,,,Public Health Capstone,,,Policy Design: Concepts and Case Studies,,,Advanced Introduction to Policy,,,Professional Practice,,,"Innovation in Leadership, Teamwork and Advocacy",,,Program Planning and Evaluation in Health Promotion,,,Determinants of Health,,,Disease Prevention and Health Promotion,,,Introduction to Epidemiology and Biostatistics,,,Sustainability and Transitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Macquarie University,North Ryde,Master of Public Health (Research),English,"7,950",,AUD,Years,2,Years,Yes,Yes,,,,,https://courses.mq.edu.au/2021/domestic/postgraduate/master-of-public-health-research,English,D,"Community and health services is a constantly evolving field that responds to the needs of populations and communities in Australia and around the world. It’s also the fastest growing job sector in Australia, and globally there is strong demand for public health professionals.
This innovative, interdisciplinary and future-focused degree will not only prepare you for a dynamic career dedicated to preventing disease, promoting health and addressing health-related issues in our globalised world, it will also develop your research skills. As a graduate, you’ll demonstrate advanced skills in problem definition, project design and evaluation, decision processes, analysis, management of time and resources, and project coordination. You’ll also acquire the ability to communicate information to professional and lay audiences, in oral and written form, all within the context of your chosen area of research specialisation.","PROFESSIONS: Environmental health specialist. Health economist. Health informatics specialist. Health promotion officer. Public health officer. Public health researcherEMPLOYERS: Government and non-government organisations concerned with health, human rights, Indigenous issues, environmental health, health leadership and/or development. Local and international aid organisations. Public health clinical or community settings. Research institutes",Australia,No,Yes,No,Yes,No,,Introduction to Epidemiology and Biostatistics,,,Master of Public Health - Public Health Research,,,Applied Research Methodologies in Health,,,Systems Science in Healthcare,,,"Innovation in Leadership, Teamwork and Advocacy",,,Health Law and Economics,,,Foundations of Public Health,,,Disease Prevention and Health Promotion,,,Determinants of Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Macquarie University,"North Ryde, Off-campus",Master of Security and Strategic Studies,Computer Science & Information Technology,"28,000",,AUD,Years,1,Year,Yes,Yes,,,,,https://courses.mq.edu.au/2021/domestic/postgraduate/master-of-security-and-strategic-studies,English,D,"The post-Cold War international system has witnessed the rise of multifaceted security challenges. Traditional great power rivalries have re-emerged as China and Russia have been contesting the existing world order; while non-traditional, human, societal and economic security issues have added considerable complexity to our understanding of security and stability. In order to face these challenges, governments and international organisations increasingly need analysts who have the knowledge, skills and creativity to understand complex geostrategic issues and engineer solutions.
This degree will prepare you to analyse and make sense of contemporary security, defence and strategic challenges. You’ll learn about the dynamics behind major geopolitical and geostrategic issues, and about multidimensional non-traditional security challenges, and you’ll extend your knowledge of analytical methods to evaluate strategic choices, and the evolution of Australia’s interests and grand strategy.",PROFESSIONS: Academic. Defence expert. Intelligence analyst. Police officer. Policy adviser. Researcher. Risk analyst. Security analystEMPLOYERS: ASIO/ASIS. Australian Border Force. Community engagement organisations. Defence and security-related business and industry. Defence intelligence organisations. Department of Defence. Department of Foreign Affairs and Trade. International non-government organisations. International/regional organisations. Law enforcement and police. Military. Public relations firms. Think tanks and policy advising organisations,Australia,No,Yes,No,Yes,No,,POIR units at 8000 level,,,Critical Thought and Research Design,,,"Cyber Security, Governance Frameworks and Ethics",,,Investigation Engagements,,,PICT units at 8000 level,,,"Cyber Conflict, Cyber Espionage and Information Warfare",,,,,,Supervised Project in Security Studies,,,Transnational Security,,,,,,SOCI units at 8000 level,,,Study Tour,,,Intelligence: Theory and Practice,,,Simulation in Security and Strategy,,,Internship,,,ANTH units at 8000 level,,,Australia's Strategic and Defence Policy,,,Strategic Thinking,,,"Decision Making, Scenario Planning and Simulation in Security and Strategy",,,,,,Advanced Criminology Theory,,,Geopolitics and Geostrategy,,,,,,Advanced Terrorism Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Macquarie University,,Master of Special Education is unavailable,,,,AUD,Years,,,No,No,,,,,https://courses.mq.edu.au/2021/domestic/postgraduate/master-of-special-education,English,N,,,Australia,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Macquarie University,North Ryde,Master of Speech and Language Pathology,Humanities and Social Science,"7,950",,AUD,Years,2,Years,Yes,Yes,,,,,https://courses.mq.edu.au/2021/domestic/postgraduate/master-of-speech-and-language-pathology,English,D,"Speech pathologists work with people who have communication and swallowing disabilities. They have a particular focus on helping children aged 0-5 who have developmental speech and language difficulties; providing specialist support to school-aged children and adolescents with language, learning, and reading difficulties; implementing rehabilitation programs with adults who have had a brain injury; supporting children and adults with complex medical, developmental and acquired conditions such as autism, cleft palate and dementia with communication and swallowing; and working with a variety of professionals in optimising their voice and vocal skills.
This course will prepare you for a rewarding career in speech pathology, in which you will have opportunities to implement tailored services with individuals who have developmental and acquired communication and swallowing disabilities, and effect potentially life-changing outcomes.",,Australia,No,Yes,No,Yes,No,,"Discourse, Literacy, and Speech Pathology Practice",,,Speech and Language Disorders in Adults,,,Speech and Language Disorders in Children,,,Body Functions and Structures for Speech Pathology,,,Lifelong Disability and AAC,,,Speech Pathology Clinical Practice 2,,,Implementing Knowledge in Speech Pathology Practice,,,Advanced Professional Practice,,,Communication and Concepts for Speech Pathology,,,Multilingualism and Speech Pathology Practice,,,Voice and Fluency Disorders,,,Speech Pathology Clinical Practice 3,,,Swallowing and its Disorders,,,Speech Pathology Clinical Practice 4,,,Speech Pathology Clinical Practice 1,,,Advanced Topics in Speech Pathology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Macquarie University,North Ryde,Master of Sustainable Development,Humanities and Social Science,"7,950",,AUD,Years,1,Year,Yes,Yes,,,,,https://courses.mq.edu.au/2021/domestic/postgraduate/master-of-sustainable-development,English,D,"The world’s governments have agreed to 17 challenging sustainable development goals to address poverty, justice and prosperity, while ensuring a healthy planet. How we reconcile these issues, and work with people to make changes to our current practices globally, nationally and locally sits at the heart of sustainable development. It’s about meeting the needs of the present, while safeguarding the environment upon which the welfare of current and future generations depend.
This degree will develop your practical skills so that you’re equipped to effect changes towards sustainable development. You’ll have opportunities to develop your capabilities in a diverse range of areas, spanning the environment, society, business and law, according to your professional needs.","PROFESSIONS: Consultant in business or community organisation. Local council professional. Sustainability coordinator for regional or national businesses. University academicEMPLOYERS: Aid agencies, eg, AusAID. Businesses, eg, Lend Lease, Fuji Xerox. Government agencies, eg, environment departments and local councils. International bodies, eg, the United Nations Development Program (UNDP). Non-government organisations, eg, the International Union for Conservation (IUCN)",Australia,No,Yes,No,Yes,No,,Attitudes to the Environment,,,Environmental Law and Sustainable Development,,,Environmental Pollution,,,Climate Change and Adaptation,,,Sustainable Urban Regions,,,"Urban Dynamics: Population, Housing and Regeneration",,,Sustainable Cities,,,Introduction to Geographic Information Science and Remote Sensing,,,Advanced Introduction to Policy,,,Sustainability Consultancy Work Practice,,,The Living Environment,,,Australian Environmental Futures,,,Sustainability and Transitions,,,Environmental Health,,,Engaging Society with Sustainable Development,,,Business and Global Environmental Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Macquarie University,"North Ryde, Off-campus",Master of Teaching (Birth to Five Years),Science and Health Science,"3,950",,AUD,Years,2,Years,Yes,Yes,,,,,https://courses.mq.edu.au/2021/domestic/postgraduate/master-of-teaching-birth-to-five-years,English,D,"When children are exposed to high-quality educational experiences before starting school, their learning capabilities and in turn their chances of excelling in school are greatly improved. Quality early childhood education provides the foundation for reading, maths and science, and helps young children develop their social and emotional skills.
This course will provide you with the specialist knowledge and skills you need to work in prior-to-school settings such as preschools and child care centres. Accredited by the Australian Children's Education and Care Quality Authority (ACECQA), this course enables you to obtain a professional qualification as a teacher of young children.",,Australia,No,Yes,No,Yes,No,,Families in Context,,,Early Childhood Development Research and Practice,,,Issues in Early Childhood Policy and Pedagogy,,,Early Childhood Professional Practice 2,,,Teaching The Arts,,,Early Childhood Development,,,"Learning Through Mathematics, Science and Technology in Early Childhood Settings",,,Language and Literacy in Early Childhood,,,Leading and Managing Early Childhood Settings,,,Early Childhood Philosophy and Pedagogy,,,Health and Well-being in Early Childhood,,,Early Childhood Postgraduate Internship,,,Early Childhood Professional Practice 1,,,Educational Research,,,Inclusive and Special Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Macquarie University,North Ryde,Master of Teaching (Primary),Science and Health Science,"3,950",,AUD,Years,2,Years,Yes,Yes,,,,,https://courses.mq.edu.au/2021/domestic/postgraduate/master-of-teaching-primary,English,D,"Supporting children to reach their full potential is a truly rewarding endeavour. Primary school teachers play a critical role in inspiring a love of learning, as well as assisting children to develop foundation skills such as literacy and numeracy, and physical and social competencies.
If you hold a recognised bachelor degree, this postgraduate degree will support you to become a reflexive, resilient and research-engaged teacher in primary schools. With a focus on evidence-based learning and teaching that has a positive impact on student learning and wellbeing, this degree will support you to become responsive and ready to learn. And it will enable you to gain the knowledge, skills and qualifications required to teach in primary schools or work in associated fields such as curriculum planning, educational research and policy development.",PROFESSIONS: Primary teacher. Education officer within a range of public and private organisations. Educational adviser to government or other agencies. Educational policy planner. Educational researcherEMPLOYERS: Government departments focusing on education. Catholic Education. Independent schools. Training agencies,Australia,No,Yes,No,Yes,No,,Introduction to Professional Practice and Research,,,Professional Practice 3 and Educational Research,,,Inclusive and Special Education,,,Teaching Quality Health and Physical Education in Primary Schools,,,"Science, Technology and Mathematics Specialisation",,,English Specialisation,,,"Teaching Mathematics, Science and Technology in the Primary School 2",,,Teaching The Arts,,,"Teaching Mathematics, Science and Technology in the Primary School 3",,,Indigenous Education: Strategies and Research,,,Professional Practice 2: Teaching Human Society and its Environment in the Primary School,,,Learner Development: Advances in Research and Practice,,,"Teaching Mathematics, Science and Technology in the Primary School 1",,,Educational Assessment,,,Professional Practice 1: Teaching English in the Primary School,,,Teaching English in the Primary School 2,,,Teaching English in the Primary School 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Macquarie University,North Ryde,Master of Teaching (Secondary),Science and Health Science,"3,950",,AUD,Years,2,Years,Yes,Yes,,,,,https://courses.mq.edu.au/2021/domestic/postgraduate/master-of-teaching-secondary,English,D,"High-quality secondary education teachers support young adults attending school to reach their full potential. They inspire a love of learning and guide and support students through what can be an exciting and challenging period in their lives.
If you hold a recognised bachelor degree, this postgraduate degree will support you to become a reflexive, resilient and research-engaged teacher in secondary schools. With a focus on evidence-based learning and teaching that has a positive impact on student learning and wellbeing, this degree will support you to become responsive and ready to learn, and will enable you to gain the knowledge, skills and qualifications required to teach in secondary schools or to work in associated fields such as curriculum planning, educational research and policy development.",PROFESSIONS: Secondary teacher. Adult education officer within a range of public and private organisations. Adult educator and trainer. Educational adviser to government or other agencies. Educational policy planner. Educational researcherEMPLOYERS: Government departments focusing on education. Catholic Education. Independent schools. Training agencies,Australia,No,Yes,No,Yes,No,,Learner Development: Advances in Research and Practice,,,"Enrichment, Thinking and Creativity in Curriculum",,,LANTITE PG,,,Introduction to Professional Practice and Research,,,Teaching Science in the Secondary School 2,,,Teaching Science in the Secondary School 1,,,Teaching English in the Secondary School 1,,,Educational Assessment,,,Teaching Society and Culture in the Secondary School 1,,,Professional Practice 3 and Educational Research,,,Independent Education Project,,,Teaching Society and Culture in the Secondary School 2,,,Professional Practice 1: Curriculum and Pedagogy,,,Teaching Mathematics in the Secondary School 1,,,Teaching Economics and Business Studies in the Secondary School 2,,,Teaching Mathematics in the Secondary School 2,,,Professional Practice 2: Literacy and Numeracy for Diverse Learners,,,Educational Research,,,Learning Technologies in School,,,Teaching English in the Secondary School 2,,,Teaching Economics and Business Studies in the Secondary School 1,,,Teaching History in the Secondary School 2,,,Inclusive and Special Education,,,Indigenous Education: Strategies and Research,,,Teaching Languages in the Secondary School 2,,,Teaching Geography in the Secondary School 2,,,Teaching Geography in the Secondary School 1,,,Teaching Languages in the Secondary School 1,,,Bilingual Education: Theory and Practice,,,Teaching History in the Secondary School 1,,,Scholarship in Educational Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Macquarie University,North Ryde,Master of Translation and Interpreting Studies,Business & Commerce & Finance & Accounting,"21,600",,AUD,Years,1,Year,Yes,Yes,,,,,https://courses.mq.edu.au/2021/domestic/postgraduate/master-of-translation-and-interpreting-studies,English,D,"Do you have a love of language and deep knowledge of more than one language and one culture? Are you meticulous? Do you have fantastic writing and public speaking skills? If so, a career in translating and interpreting may be your calling.
If you’re proficient in more than one language in addition to English, this degree will provide you with the skills and knowledge you’ll require to perform translation and interpreting in a range of institutional settings common to community and commercial translation and interpreting practice in Australia and overseas.",,Australia,No,Yes,No,Yes,No,,Pragmatics and Intercultural Communication,,,Audiovisual Translation and Accessibility,,,Approaches to Translation and Interpreting,,,Introduction to Translation and Interpreting,,,General Translation Practice,,,Languages and Cultures in Contact,,,Introduction to Interpreting Practice,,,Research Methods in Language Study,,,Intermediate Interpreting Practice,,,Advanced Translation Practice,,,Specialised Translation Practice,,,Specialised Interpreting Practice,,,Accessible Communication,,,Cultural and Literary Translation/Transcreation,,,Applied Translation Practice,,,Technology for Translating and Interpreting,,,Professional Practice in Translating and Interpreting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Macquarie University,North Ryde,Master of Translation and Interpreting Studies (Advanced),Business & Commerce & Finance & Accounting,"21,600",,AUD,Years,2,Years,Yes,Yes,,,,,https://courses.mq.edu.au/2021/domestic/postgraduate/master-of-translation-and-interpreting-studies-advanced,English,D,"Translation and interpreting is just as much an art as it is a skill. Talented professionals are proficient bilinguals who love languages and cultures, who possess excellent writing and public speaking skills, and who are meticulous right down to the tiniest details. They are supremely talented at instantly transforming expressions, colloquialisms and other culturally specific references into statements their target audience will understand.
This degree will prepare you with the knowledge and skills you’ll require for a career in this dynamic field. It is set apart from the Master of Translation and Interpreting Studies in that it allows you to achieve greater depth in either translation or interpreting, or in both disciplines. You’ll also have the opportunity to take electives that further develop your specialised practice in areas such as subtitling, as well as translation and interpreting in medical, legal and business settings.",,Australia,No,Yes,No,Yes,No,,Research Methods in Language Study,,,Technology for Translating and Interpreting,,,Professional Practice in Translating and Interpreting,,,Cultural and Literary Translation/Transcreation,,,Specialised Interpreting Practice,,,Accessible Communication,,,Audiovisual Translation and Accessibility,,,Intermediate Interpreting Practice,,,Research Project in Translation and Interpreting Studies,,,Advanced Interpreting Practice,,,General Translation Practice,,,Approaches to Translation and Interpreting,,,Specialised Translation Practice,,,Introduction to Translation and Interpreting,,,Introduction to Interpreting Practice,,,Applied Translation Practice,,,Advanced Translation Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Macquarie University,North Ryde,Master of Banking and Finance with a Specialisation in Financial Management,Computer Science & Information Technology,"29,200",,AUD,Years,1,Year,Yes,Yes,,,,,https://courses.mq.edu.au/2021/domestic/postgraduate/master-of-banking-and-finance-financial-management,English,D,"Financial management entails planning, organising, directing and controlling financial activities such as raising and effectively using funds. Services provided may include account management, brokerage, investment advice and negotiation.
In this specialisation, you’ll attain relevant, advanced-level theoretical knowledge. You’ll apply superior technical skills to examine large amounts of financial information, and interpret and appraise financial information and market conditions. You’ll be able to critically evaluate complex banking and financial problems, do independent research, and use sound professional judgement to find solutions to problems. You’ll also show awareness of ethical, social, regulatory, economic, sustainability and global perspectives relevant to the financial sector.",PROFESSIONS: Credit risk analyst. Finance manager. Financial adviser. Financial analyst. Investment adviser. Mortgage broker. Personal finance adviser. Risk management analyst. Stockbroker. Wealth management adviserEMPLOYERS: Accounting firms. Banks. Financial institutions. Hedge funds. Insurance companies. Investment firms. Personal finance advising firms. Public service. Reserve Bank of Australia. Wealth management firms,Australia,No,Yes,No,Yes,No,,FinTech and Innovation,,,Financial Modelling and Forecasting,,,Econometrics and Business Statistics,,,Portfolio Management,,,Banking and Financial Intermediation,,,Fixed Income and Credit Analysis,,,Research Methods in Banking and Finance,,,Risk Management and Derivatives,,,International Financial Management,,,Investments,,,Corporate Finance,,,Environmental Finance,,,Principles of Finance,,,Capital Markets,,,Economic Analysis,,,Business Valuation,,,Current Issues in Banking and Finance,,,Professional Development in Banking and Finance,,,Alternative Securities,,,Financial Statement Analysis and Modelling,,,Business Internship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Macquarie University,North Ryde,Master of Banking and Finance with a Specialisation in FinTech,Computer Science & Information Technology,"29,200",,AUD,Years,1,Year,Yes,Yes,,,,,https://courses.mq.edu.au/2021/domestic/postgraduate/master-of-banking-and-finance-fintech,English,D,"Part of a worldwide boom in innovation, FinTech is the use of technology to improve business activities in finance. Australia has one of the world’s most dynamic FinTech industries, with a strong growth forecast.
In this specialisation, you’ll attain advanced-level theoretical and practical knowledge of FinTech, as well as an understanding of major technological trends in the banking and finance sector. You’ll apply superior technical skills to examine large amounts of financial information, and interpret and appraise financial information and market conditions. You’ll conduct independent research and solve sophisticated financial problems in complex contexts using sound professional judgement. You’ll also develop your awareness of ethical, social, regulatory, economic, sustainability and global perspectives relevant to the financial sector, with a particular focus on the adoption of financial technology.",PROFESSIONS: Account manager. Business development manager. Credit risk analyst. Financial adviser. Financial analyst. Financial technology salesperson. Financial technology technical manager. Investment adviser. Product manager. Risk management analyst. Stockbroker. Wealth management adviserEMPLOYERS: Accounting firms. Banks. Financial institutions. Financial technology firms. Hedge funds. Information and technology firms. Insurance companies. Investment firms. Public service. Wealth management firms,Australia,No,Yes,No,Yes,No,,Economic Analysis,,,Financial Statement Analysis and Modelling,,,FinTech and Innovation,,,Investments,,,Digital Finance,,,Research Methods in Banking and Finance,,,"Payments, Cryptocurrencies and Blockchain",,,Professional Development in Banking and Finance,,,Principles of Finance,,,Business Internship,,,Environmental Finance,,,Current Issues in Banking and Finance,,,Business Valuation,,,Financial Data Science,,,International Financial Management,,,Econometrics and Business Statistics,,,Financial Modelling and Forecasting,,,Banking and Financial Intermediation,,,Corporate Finance,,,Capital Markets,,,Fixed Income and Credit Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
